SITE,PROGRAMME,DATE,CHAMPS
Arena Bercy,Basketball (phase finale) (11:00-13:00); Basketball (phase finale) (14:30-16:30); Basketball (phase finale) (18:00-20:00); Basketball (phase finale) (21:30-23:30),2024-08-07,"SITE: Arena Bercy 
 Programme de la journée: Basketball (phase finale) (11:00-13:00); Basketball (phase finale) (14:30-16:30); Basketball (phase finale) (18:00-20:00); Basketball (phase finale) (21:30-23:30)"
Arena Bercy,Basketball (phase finale) (17:30-19:30); Basketball (phase finale) (21:00-23:00),2024-08-08,"SITE: Arena Bercy 
 Programme de la journée: Basketball (phase finale) (17:30-19:30); Basketball (phase finale) (21:00-23:00)"
Arena Bercy,Basketball (phase finale) (17:30-19:30); Basketball (phase finale) (21:00-23:00),2024-08-09,"SITE: Arena Bercy 
 Programme de la journée: Basketball (phase finale) (17:30-19:30); Basketball (phase finale) (21:00-23:00)"
Arena Bercy,Basketball (phase finale) (11:00-13:00); Basketball (phase finale) (21:30-00:00),2024-08-10,"SITE: Arena Bercy 
 Programme de la journée: Basketball (phase finale) (11:00-13:00); Basketball (phase finale) (21:30-00:00)"
Arena Bercy,Basketball (phase finale) (11:30-13:30); Basketball (phase finale) (15:30-18:00),2024-08-11,"SITE: Arena Bercy 
 Programme de la journée: Basketball (phase finale) (11:30-13:30); Basketball (phase finale) (15:30-18:00)"
Arena la Chapelle,Badminton (08:30-12:00); Badminton (14:00-17:30); Badminton (19:30-23:00),2024-07-27,"SITE: Arena la Chapelle 
 Programme de la journée: Badminton (08:30-12:00); Badminton (14:00-17:30); Badminton (19:30-23:00)"
Arena la Chapelle,Badminton (08:30-12:00); Badminton (14:00-17:30); Badminton (19:30-23:00),2024-07-28,"SITE: Arena la Chapelle 
 Programme de la journée: Badminton (08:30-12:00); Badminton (14:00-17:30); Badminton (19:30-23:00)"
Arena la Chapelle,Badminton (08:30-12:00); Badminton (14:00-17:30); Badminton (19:30-23:00),2024-07-29,"SITE: Arena la Chapelle 
 Programme de la journée: Badminton (08:30-12:00); Badminton (14:00-17:30); Badminton (19:30-23:00)"
Arena la Chapelle,Badminton (08:30-12:00); Badminton (14:00-17:30); Badminton (19:30-23:00),2024-07-30,"SITE: Arena la Chapelle 
 Programme de la journée: Badminton (08:30-12:00); Badminton (14:00-17:30); Badminton (19:30-23:00)"
Arena la Chapelle,Badminton (08:30-12:00); Badminton (14:00-17:30); Badminton (19:30-23:00),2024-07-31,"SITE: Arena la Chapelle 
 Programme de la journée: Badminton (08:30-12:00); Badminton (14:00-17:30); Badminton (19:30-23:00)"
Arena la Chapelle,Badminton (08:30-11:00); Badminton (13:00-16:30); Badminton (18:30-22:00),2024-08-01,"SITE: Arena la Chapelle 
 Programme de la journée: Badminton (08:30-11:00); Badminton (13:00-16:30); Badminton (18:30-22:00)"
Arena la Chapelle,Badminton (08:30-13:00); Badminton (15:00-22:30),2024-08-02,"SITE: Arena la Chapelle 
 Programme de la journée: Badminton (08:30-13:00); Badminton (15:00-22:30)"
Arena la Chapelle,Badminton (08:30-13:00); Badminton (15:00-17:30),2024-08-03,"SITE: Arena la Chapelle 
 Programme de la journée: Badminton (08:30-13:00); Badminton (15:00-17:30)"
Arena la Chapelle,Badminton (08:30-13:00); Badminton (15:00-17:30),2024-08-04,"SITE: Arena la Chapelle 
 Programme de la journée: Badminton (08:30-13:00); Badminton (15:00-17:30)"
Arena la Chapelle,Badminton (09:45-12:30); Badminton (14:30-17:30),2024-08-05,"SITE: Arena la Chapelle 
 Programme de la journée: Badminton (09:45-12:30); Badminton (14:30-17:30)"
Arena la Chapelle,Gymnastique rythmique (10:00-13:00); Gymnastique rythmique (15:00-18:00),2024-08-08,"SITE: Arena la Chapelle 
 Programme de la journée: Gymnastique rythmique (10:00-13:00); Gymnastique rythmique (15:00-18:00)"
Arena la Chapelle,Gymnastique rythmique (10:00-12:30); Gymnastique rythmique (14:30-17:00),2024-08-09,"SITE: Arena la Chapelle 
 Programme de la journée: Gymnastique rythmique (10:00-12:30); Gymnastique rythmique (14:30-17:00)"
Arena la Chapelle,Gymnastique rythmique (14:00-15:45),2024-08-10,"SITE: Arena la Chapelle 
 Programme de la journée: Gymnastique rythmique (14:00-15:45)"
Arena Paris Nord,Boxe (15:30-17:55); Boxe (20:00-22:25),2024-07-27,"SITE: Arena Paris Nord 
 Programme de la journée: Boxe (15:30-17:55); Boxe (20:00-22:25)"
Arena Paris Nord,Boxe (11:00-13:10); Boxe (15:30-17:40); Boxe (20:00-22:10),2024-07-28,"SITE: Arena Paris Nord 
 Programme de la journée: Boxe (11:00-13:10); Boxe (15:30-17:40); Boxe (20:00-22:10)"
Arena Paris Nord,Boxe (11:00-13:10); Boxe (15:30-17:40); Boxe (20:00-22:10),2024-07-29,"SITE: Arena Paris Nord 
 Programme de la journée: Boxe (11:00-13:10); Boxe (15:30-17:40); Boxe (20:00-22:10)"
Arena Paris Nord,Boxe (11:00-13:40); Boxe (15:30-18:10); Boxe (20:00-22:40),2024-07-30,"SITE: Arena Paris Nord 
 Programme de la journée: Boxe (11:00-13:40); Boxe (15:30-18:10); Boxe (20:00-22:40)"
Arena Paris Nord,Boxe (11:00-13:25); Boxe (15:30-18:10); Boxe (20:00-22:25),2024-07-31,"SITE: Arena Paris Nord 
 Programme de la journée: Boxe (11:00-13:25); Boxe (15:30-18:10); Boxe (20:00-22:25)"
Arena Paris Nord,Boxe (11:00-13:25); Boxe (15:30-18:10); Boxe (20:00-22:25),2024-08-01,"SITE: Arena Paris Nord 
 Programme de la journée: Boxe (11:00-13:25); Boxe (15:30-18:10); Boxe (20:00-22:25)"
Arena Paris Nord,Boxe (15:30-18:10); Boxe (20:00-22:40),2024-08-02,"SITE: Arena Paris Nord 
 Programme de la journée: Boxe (15:30-18:10); Boxe (20:00-22:40)"
Arena Paris Nord,Boxe (15:30-17:55); Boxe (20:00-22:25),2024-08-03,"SITE: Arena Paris Nord 
 Programme de la journée: Boxe (15:30-17:55); Boxe (20:00-22:25)"
Arena Paris Nord,Boxe (11:00-13:25); Boxe (15:30-17:55),2024-08-04,"SITE: Arena Paris Nord 
 Programme de la journée: Boxe (11:00-13:25); Boxe (15:30-17:55)"
Arena Paris Nord,"Pentathlon moderne (tour de classsement, escrime) (11:00-17:30)",2024-08-08,"SITE: Arena Paris Nord 
 Programme de la journée: Pentathlon moderne (tour de classsement, escrime) (11:00-17:30)"
Site d'escalade du Bourget,Escalade (10:00-14:00),2024-08-05,"SITE: Site d'escalade du Bourget 
 Programme de la journée: Escalade (10:00-14:00)"
Site d'escalade du Bourget,Escalade (10:00-14:00),2024-08-06,"SITE: Site d'escalade du Bourget 
 Programme de la journée: Escalade (10:00-14:00)"
Site d'escalade du Bourget,Escalade (10:00-13:15),2024-08-07,"SITE: Site d'escalade du Bourget 
 Programme de la journée: Escalade (10:00-13:15)"
Site d'escalade du Bourget,Escalade (10:00-13:15),2024-08-08,"SITE: Site d'escalade du Bourget 
 Programme de la journée: Escalade (10:00-13:15)"
Site d'escalade du Bourget,Escalade (10:15-13:20),2024-08-09,"SITE: Site d'escalade du Bourget 
 Programme de la journée: Escalade (10:15-13:20)"
Site d'escalade du Bourget,Escalade (10:15-13:20),2024-08-10,"SITE: Site d'escalade du Bourget 
 Programme de la journée: Escalade (10:15-13:20)"
Centre aquatique,Plongeon (11:00-12:00); Water-polo (phase préliminaire) (14:00-17:00); Water-polo (phase préliminaire) (18:30-21:30),2024-07-27,"SITE: Centre aquatique 
 Programme de la journée: Plongeon (11:00-12:00); Water-polo (phase préliminaire) (14:00-17:00); Water-polo (phase préliminaire) (18:30-21:30)"
Centre aquatique,Water-polo (phase préliminaire) (10:30-13:30); Water-polo (phase préliminaire) (15:00-18:00); Water-polo (phase préliminaire) (19:30-22:30),2024-07-28,"SITE: Centre aquatique 
 Programme de la journée: Water-polo (phase préliminaire) (10:30-13:30); Water-polo (phase préliminaire) (15:00-18:00); Water-polo (phase préliminaire) (19:30-22:30)"
Centre aquatique,Plongeon (11:00-12:00); Water-polo (phase préliminaire) (14:00-17:00); Water-polo (phase préliminaire) (18:30-21:30),2024-07-29,"SITE: Centre aquatique 
 Programme de la journée: Plongeon (11:00-12:00); Water-polo (phase préliminaire) (14:00-17:00); Water-polo (phase préliminaire) (18:30-21:30)"
Centre aquatique,Water-polo (phase préliminaire) (10:30-13:30); Water-polo (phase préliminaire) (15:00-18:00); Water-polo (phase préliminaire) (19:30-22:30),2024-07-30,"SITE: Centre aquatique 
 Programme de la journée: Water-polo (phase préliminaire) (10:30-13:30); Water-polo (phase préliminaire) (15:00-18:00); Water-polo (phase préliminaire) (19:30-22:30)"
Centre aquatique,Plongeon (11:00-12:00); Water-polo (phase préliminaire) (14:00-17:00); Water-polo (phase préliminaire) (18:30-21:30),2024-07-31,"SITE: Centre aquatique 
 Programme de la journée: Plongeon (11:00-12:00); Water-polo (phase préliminaire) (14:00-17:00); Water-polo (phase préliminaire) (18:30-21:30)"
Centre aquatique,Water-polo (phase préliminaire) (10:30-13:30); Water-polo (phase préliminaire) (15:00-18:00); Water-polo (phase préliminaire) (19:30-22:30),2024-08-01,"SITE: Centre aquatique 
 Programme de la journée: Water-polo (phase préliminaire) (10:30-13:30); Water-polo (phase préliminaire) (15:00-18:00); Water-polo (phase préliminaire) (19:30-22:30)"
Centre aquatique,Plongeon (11:00-12:00); Water-polo (phase préliminaire) (14:00-17:00); Water-polo (phase préliminaire) (18:30-21:30),2024-08-02,"SITE: Centre aquatique 
 Programme de la journée: Plongeon (11:00-12:00); Water-polo (phase préliminaire) (14:00-17:00); Water-polo (phase préliminaire) (18:30-21:30)"
Centre aquatique,Water-polo (phase préliminaire) (10:30-13:30); Water-polo (phase préliminaire) (15:00-18:00); Water-polo (phase préliminaire) (19:30-22:30),2024-08-03,"SITE: Centre aquatique 
 Programme de la journée: Water-polo (phase préliminaire) (10:30-13:30); Water-polo (phase préliminaire) (15:00-18:00); Water-polo (phase préliminaire) (19:30-22:30)"
Centre aquatique,Water-polo (phase préliminaire) (14:00-17:00); Water-polo (phase préliminaire) (18:30-21:30),2024-08-04,"SITE: Centre aquatique 
 Programme de la journée: Water-polo (phase préliminaire) (14:00-17:00); Water-polo (phase préliminaire) (18:30-21:30)"
Centre aquatique,Natation artistique (19:30-21:00); Plongeon (10:00-12:10); Plongeon (15:00-17:00),2024-08-05,"SITE: Centre aquatique 
 Programme de la journée: Natation artistique (19:30-21:00); Plongeon (10:00-12:10); Plongeon (15:00-17:00)"
Centre aquatique,Natation artistique (19:30-21:00); Plongeon (10:00-12:00); Plongeon (15:00-17:00),2024-08-06,"SITE: Centre aquatique 
 Programme de la journée: Natation artistique (19:30-21:00); Plongeon (10:00-12:00); Plongeon (15:00-17:00)"
Centre aquatique,Natation artistique (19:30-21:15); Plongeon (10:00-12:00); Plongeon (15:00-17:00),2024-08-07,"SITE: Centre aquatique 
 Programme de la journée: Natation artistique (19:30-21:15); Plongeon (10:00-12:00); Plongeon (15:00-17:00)"
Centre aquatique,Plongeon (10:00-12:00); Plongeon (15:00-17:00),2024-08-08,"SITE: Centre aquatique 
 Programme de la journée: Plongeon (10:00-12:00); Plongeon (15:00-17:00)"
Centre aquatique,Natation artistique (19:30-21:30); Plongeon (10:00-12:00); Plongeon (15:00-17:00),2024-08-09,"SITE: Centre aquatique 
 Programme de la journée: Natation artistique (19:30-21:30); Plongeon (10:00-12:00); Plongeon (15:00-17:00)"
Centre aquatique,Natation artistique (19:30-22:00); Plongeon (10:00-12:00); Plongeon (15:00-17:00),2024-08-10,"SITE: Centre aquatique 
 Programme de la journée: Natation artistique (19:30-22:00); Plongeon (10:00-12:00); Plongeon (15:00-17:00)"
Stade Tour Eiffel - Arena Champ de Mars,Pas de programmation,2024-07-27,"SITE: Stade Tour Eiffel - Arena Champ de Mars 
 Programme de la journée: Pas de programmation"
Stade Tour Eiffel - Arena Champ de Mars,Pas de programmation,2024-07-28,"SITE: Stade Tour Eiffel - Arena Champ de Mars 
 Programme de la journée: Pas de programmation"
Stade Tour Eiffel - Arena Champ de Mars,Pas de programmation,2024-07-29,"SITE: Stade Tour Eiffel - Arena Champ de Mars 
 Programme de la journée: Pas de programmation"
Stade Tour Eiffel - Arena Champ de Mars,Pas de programmation,2024-07-30,"SITE: Stade Tour Eiffel - Arena Champ de Mars 
 Programme de la journée: Pas de programmation"
Stade Tour Eiffel - Arena Champ de Mars,Pas de programmation,2024-07-31,"SITE: Stade Tour Eiffel - Arena Champ de Mars 
 Programme de la journée: Pas de programmation"
Stade Tour Eiffel - Arena Champ de Mars,Pas de programmation,2024-08-01,"SITE: Stade Tour Eiffel - Arena Champ de Mars 
 Programme de la journée: Pas de programmation"
Stade Tour Eiffel - Arena Champ de Mars,Pas de programmation,2024-08-02,"SITE: Stade Tour Eiffel - Arena Champ de Mars 
 Programme de la journée: Pas de programmation"
Stade Tour Eiffel - Arena Champ de Mars,Pas de programmation,2024-08-03,"SITE: Stade Tour Eiffel - Arena Champ de Mars 
 Programme de la journée: Pas de programmation"
Stade Tour Eiffel - Arena Champ de Mars,Pas de programmation,2024-08-05,"SITE: Stade Tour Eiffel - Arena Champ de Mars 
 Programme de la journée: Pas de programmation"
Stade Tour Eiffel - Arena Champ de Mars,Pas de programmation,2024-08-06,"SITE: Stade Tour Eiffel - Arena Champ de Mars 
 Programme de la journée: Pas de programmation"
Stade Tour Eiffel - Arena Champ de Mars,Pas de programmation,2024-08-07,"SITE: Stade Tour Eiffel - Arena Champ de Mars 
 Programme de la journée: Pas de programmation"
Stade Tour Eiffel - Arena Champ de Mars,Pas de programmation,2024-08-08,"SITE: Stade Tour Eiffel - Arena Champ de Mars 
 Programme de la journée: Pas de programmation"
Stade Tour Eiffel - Arena Champ de Mars,Pas de programmation,2024-08-09,"SITE: Stade Tour Eiffel - Arena Champ de Mars 
 Programme de la journée: Pas de programmation"
Stade Tour Eiffel - Arena Champ de Mars,Pas de programmation,2024-08-10,"SITE: Stade Tour Eiffel - Arena Champ de Mars 
 Programme de la journée: Pas de programmation"
La Concorde,Skateboard - Street (12:00-15:30); Skateboard - Street (17:00-19:00),2024-07-27,"SITE: La Concorde 
 Programme de la journée: Skateboard - Street (12:00-15:30); Skateboard - Street (17:00-19:00)"
La Concorde,Skateboard - Street (12:00-15:30); Skateboard - Street (17:00-19:00),2024-07-28,"SITE: La Concorde 
 Programme de la journée: Skateboard - Street (12:00-15:30); Skateboard - Street (17:00-19:00)"
La Concorde,Basketball 3 contre 3 (17:30-19:30); Basketball 3 contre 3 (21:00-23:00); BMX freestyle (13:25-16:30),2024-07-30,"SITE: La Concorde 
 Programme de la journée: Basketball 3 contre 3 (17:30-19:30); Basketball 3 contre 3 (21:00-23:00); BMX freestyle (13:25-16:30)"
La Concorde,Basketball 3 contre 3 (17:30-19:30); Basketball 3 contre 3 (21:00-23:00); BMX freestyle (13:10-16:30),2024-07-31,"SITE: La Concorde 
 Programme de la journée: Basketball 3 contre 3 (17:30-19:30); Basketball 3 contre 3 (21:00-23:00); BMX freestyle (13:10-16:30)"
La Concorde,Basketball 3 contre 3 (09:00-11:00); Basketball 3 contre 3 (12:30-14:30); Basketball 3 contre 3 (18:00-20:00); Basketball 3 contre 3 (21:30-23:30),2024-08-01,"SITE: La Concorde 
 Programme de la journée: Basketball 3 contre 3 (09:00-11:00); Basketball 3 contre 3 (12:30-14:30); Basketball 3 contre 3 (18:00-20:00); Basketball 3 contre 3 (21:30-23:30)"
La Concorde,Basketball 3 contre 3 (09:00-11:00); Basketball 3 contre 3 (12:30-14:30); Basketball 3 contre 3 (17:30-19:30); Basketball 3 contre 3 (21:30-23:30),2024-08-02,"SITE: La Concorde 
 Programme de la journée: Basketball 3 contre 3 (09:00-11:00); Basketball 3 contre 3 (12:30-14:30); Basketball 3 contre 3 (17:30-19:30); Basketball 3 contre 3 (21:30-23:30)"
La Concorde,Basketball 3 contre 3 (17:30-19:30); Basketball 3 contre 3 (21:30-22:30),2024-08-03,"SITE: La Concorde 
 Programme de la journée: Basketball 3 contre 3 (17:30-19:30); Basketball 3 contre 3 (21:30-22:30)"
La Concorde,Basketball 3 contre 3 (17:30-19:30); Basketball 3 contre 3 (21:30-22:30),2024-08-04,"SITE: La Concorde 
 Programme de la journée: Basketball 3 contre 3 (17:30-19:30); Basketball 3 contre 3 (21:30-22:30)"
La Concorde,Basketball 3 contre 3 (17:30-19:30); Basketball 3 contre 3 (21:00-23:20),2024-08-05,"SITE: La Concorde 
 Programme de la journée: Basketball 3 contre 3 (17:30-19:30); Basketball 3 contre 3 (21:00-23:20)"
La Concorde,Skateboard - Park (12:30-16:00); Skateboard - Park (17:30-19:00),2024-08-06,"SITE: La Concorde 
 Programme de la journée: Skateboard - Park (12:30-16:00); Skateboard - Park (17:30-19:00)"
La Concorde,Skateboard - Park (07:30-10:45); Skateboard - Park (17:30-19:00),2024-08-07,"SITE: La Concorde 
 Programme de la journée: Skateboard - Park (07:30-10:45); Skateboard - Park (17:30-19:00)"
La Concorde,Breaking (16:00-18:00); Breaking (20:00-22:00),2024-08-09,"SITE: La Concorde 
 Programme de la journée: Breaking (16:00-18:00); Breaking (20:00-22:00)"
La Concorde,Breaking (16:00-18:00); Breaking (20:00-22:00),2024-08-10,"SITE: La Concorde 
 Programme de la journée: Breaking (16:00-18:00); Breaking (20:00-22:00)"
Grand Palais,Escrime (10:00-16:40); Escrime (19:00-22:50),2024-07-27,"SITE: Grand Palais 
 Programme de la journée: Escrime (10:00-16:40); Escrime (19:00-22:50)"
Grand Palais,Escrime (09:30-16:50); Escrime (19:00-23:10),2024-07-28,"SITE: Grand Palais 
 Programme de la journée: Escrime (09:30-16:50); Escrime (19:00-23:10)"
Grand Palais,Escrime (09:30-16:50); Escrime (19:00-23:10),2024-07-29,"SITE: Grand Palais 
 Programme de la journée: Escrime (09:30-16:50); Escrime (19:00-23:10)"
Grand Palais,Escrime (12:00-17:30); Escrime (19:30-21:40),2024-07-30,"SITE: Grand Palais 
 Programme de la journée: Escrime (12:00-17:30); Escrime (19:30-21:40)"
Grand Palais,Escrime (12:00-17:30); Escrime (19:30-21:40),2024-07-31,"SITE: Grand Palais 
 Programme de la journée: Escrime (12:00-17:30); Escrime (19:30-21:40)"
Grand Palais,Escrime (10:00-17:10); Escrime (19:10-22:00),2024-08-01,"SITE: Grand Palais 
 Programme de la journée: Escrime (10:00-17:10); Escrime (19:10-22:00)"
Grand Palais,Escrime (12:00-17:30); Escrime (19:30-21:40),2024-08-02,"SITE: Grand Palais 
 Programme de la journée: Escrime (12:00-17:30); Escrime (19:30-21:40)"
Grand Palais,Escrime (11:30-17:00); Escrime (19:00-21:10),2024-08-03,"SITE: Grand Palais 
 Programme de la journée: Escrime (11:30-17:00); Escrime (19:00-21:10)"
Grand Palais,Escrime (10:00-17:10); Escrime (19:10-22:00),2024-08-04,"SITE: Grand Palais 
 Programme de la journée: Escrime (10:00-17:10); Escrime (19:10-22:00)"
Grand Palais,Taekwondo (09:00-12:30); Taekwondo (14:30-17:30); Taekwondo (19:30-23:00),2024-08-07,"SITE: Grand Palais 
 Programme de la journée: Taekwondo (09:00-12:30); Taekwondo (14:30-17:30); Taekwondo (19:30-23:00)"
Grand Palais,Taekwondo (09:00-12:30); Taekwondo (14:30-17:30); Taekwondo (19:30-23:00),2024-08-08,"SITE: Grand Palais 
 Programme de la journée: Taekwondo (09:00-12:30); Taekwondo (14:30-17:30); Taekwondo (19:30-23:00)"
Grand Palais,Taekwondo (09:00-12:30); Taekwondo (14:30-17:30); Taekwondo (19:30-23:00),2024-08-09,"SITE: Grand Palais 
 Programme de la journée: Taekwondo (09:00-12:30); Taekwondo (14:30-17:30); Taekwondo (19:30-23:00)"
Grand Palais,Taekwondo (09:00-12:30); Taekwondo (14:30-17:30); Taekwondo (19:30-23:00),2024-08-10,"SITE: Grand Palais 
 Programme de la journée: Taekwondo (09:00-12:30); Taekwondo (14:30-17:30); Taekwondo (19:30-23:00)"
Invalides,Tir à l'arc (09:30-12:30); Tir à l'arc (14:15-17:15),2024-07-25,"SITE: Invalides 
 Programme de la journée: Tir à l'arc (09:30-12:30); Tir à l'arc (14:15-17:15)"
Invalides,Tir à l'arc (09:30-11:05); Tir à l'arc (14:15-17:55),2024-07-28,"SITE: Invalides 
 Programme de la journée: Tir à l'arc (09:30-11:05); Tir à l'arc (14:15-17:55)"
Invalides,Tir à l'arc (09:30-11:05); Tir à l'arc (14:15-17:55),2024-07-29,"SITE: Invalides 
 Programme de la journée: Tir à l'arc (09:30-11:05); Tir à l'arc (14:15-17:55)"
Invalides,Tir à l'arc (12:00-15:55); Tir à l'arc (17:45-20:25),2024-07-30,"SITE: Invalides 
 Programme de la journée: Tir à l'arc (12:00-15:55); Tir à l'arc (17:45-20:25)"
Invalides,Tir à l'arc (12:00-15:55); Tir à l'arc (17:45-20:25),2024-07-31,"SITE: Invalides 
 Programme de la journée: Tir à l'arc (12:00-15:55); Tir à l'arc (17:45-20:25)"
Invalides,Tir à l'arc (09:30-13:25); Tir à l'arc (15:30-19:25),2024-08-01,"SITE: Invalides 
 Programme de la journée: Tir à l'arc (09:30-13:25); Tir à l'arc (15:30-19:25)"
Invalides,Tir à l'arc (09:30-12:05); Tir à l'arc (14:15-17:25),2024-08-02,"SITE: Invalides 
 Programme de la journée: Tir à l'arc (09:30-12:05); Tir à l'arc (14:15-17:25)"
Invalides,Tir à l'arc (09:30-11:15); Tir à l'arc (13:00-15:20),2024-08-03,"SITE: Invalides 
 Programme de la journée: Tir à l'arc (09:30-11:15); Tir à l'arc (13:00-15:20)"
Invalides,Tir à l'arc (09:30-11:15); Tir à l'arc (13:00-15:20),2024-08-04,"SITE: Invalides 
 Programme de la journée: Tir à l'arc (09:30-11:15); Tir à l'arc (13:00-15:20)"
Arena La Defense,Natation (11:00-13:00); Natation (20:30-22:30),2024-07-27,"SITE: Arena La Defense 
 Programme de la journée: Natation (11:00-13:00); Natation (20:30-22:30)"
Arena La Defense,Natation (11:00-13:00); Natation (20:30-22:30),2024-07-28,"SITE: Arena La Defense 
 Programme de la journée: Natation (11:00-13:00); Natation (20:30-22:30)"
Arena La Defense,Natation (11:00-13:00); Natation (20:30-22:30),2024-07-29,"SITE: Arena La Defense 
 Programme de la journée: Natation (11:00-13:00); Natation (20:30-22:30)"
Arena La Defense,Natation (11:00-13:00); Natation (20:30-22:30),2024-07-30,"SITE: Arena La Defense 
 Programme de la journée: Natation (11:00-13:00); Natation (20:30-22:30)"
Arena La Defense,Natation (11:00-13:00); Natation (20:30-22:30),2024-07-31,"SITE: Arena La Defense 
 Programme de la journée: Natation (11:00-13:00); Natation (20:30-22:30)"
Arena La Defense,Natation (11:00-13:00); Natation (20:30-22:30),2024-08-01,"SITE: Arena La Defense 
 Programme de la journée: Natation (11:00-13:00); Natation (20:30-22:30)"
Arena La Defense,Natation (11:00-13:00); Natation (20:30-22:30),2024-08-02,"SITE: Arena La Defense 
 Programme de la journée: Natation (11:00-13:00); Natation (20:30-22:30)"
Arena La Defense,Natation (11:00-13:00); Natation (20:30-22:30),2024-08-03,"SITE: Arena La Defense 
 Programme de la journée: Natation (11:00-13:00); Natation (20:30-22:30)"
Arena La Defense,Natation (18:30-20:30),2024-08-04,"SITE: Arena La Defense 
 Programme de la journée: Natation (18:30-20:30)"
Arena La Defense,Water-polo (phase finale)  (12:00-16:30); Water-polo (phase finale)  (18:30-23:00),2024-08-05,"SITE: Arena La Defense 
 Programme de la journée: Water-polo (phase finale)  (12:00-16:30); Water-polo (phase finale)  (18:30-23:00)"
Arena La Defense,Water-polo (phase finale)  (14:00-17:00); Water-polo (phase finale)  (19:00-22:00),2024-08-06,"SITE: Arena La Defense 
 Programme de la journée: Water-polo (phase finale)  (14:00-17:00); Water-polo (phase finale)  (19:00-22:00)"
Arena La Defense,Water-polo (phase finale)  (14:00-17:00); Water-polo (phase finale)  (19:00-22:00),2024-08-07,"SITE: Arena La Defense 
 Programme de la journée: Water-polo (phase finale)  (14:00-17:00); Water-polo (phase finale)  (19:00-22:00)"
Arena La Defense,Water-polo (phase finale)  (13:00-16:00); Water-polo (phase finale)  (18:00-21:00),2024-08-08,"SITE: Arena La Defense 
 Programme de la journée: Water-polo (phase finale)  (13:00-16:00); Water-polo (phase finale)  (18:00-21:00)"
Arena La Defense,Water-polo (phase finale)  (13:00-16:00); Water-polo (phase finale)  (18:00-21:00),2024-08-09,"SITE: Arena La Defense 
 Programme de la journée: Water-polo (phase finale)  (13:00-16:00); Water-polo (phase finale)  (18:00-21:00)"
Arena La Defense,Water-polo (phase finale)  (09:00-12:00); Water-polo (phase finale)  (14:00-21:00),2024-08-10,"SITE: Arena La Defense 
 Programme de la journée: Water-polo (phase finale)  (09:00-12:00); Water-polo (phase finale)  (14:00-21:00)"
Arena La Defense,Water-polo (phase finale)  (09:00-12:00); Water-polo (phase finale)  (14:00-15:50),2024-08-11,"SITE: Arena La Defense 
 Programme de la journée: Water-polo (phase finale)  (09:00-12:00); Water-polo (phase finale)  (14:00-15:50)"
Parc des Princes,Football (15:00-17:00); Football (21:00-23:00),2024-07-24,"SITE: Parc des Princes 
 Programme de la journée: Football (15:00-17:00); Football (21:00-23:00)"
Parc des Princes,Football (19:00-21:00),2024-07-27,"SITE: Parc des Princes 
 Programme de la journée: Football (19:00-21:00)"
